nest,cam,n,year,island,terr,date,julian,lay_date,hatch_date,LD,HD,age,hatch,chick,survive,pred,t,obvs,type,ground,veg,place,per_cover,str_veg,str_rock,max_str,dens,nn,nest_lagu,nest_tern
C1,C1,227,2018,Cockroach,BVI,17-May,137,5-May,30-May,126,150,12,0,NA,0,1,1,1,cov,litter,vine,periph,1,60.96,15.24,60.96,1,0,2,0
C10,C10,50,2017,Congo,USVI,17-May,137,6-May,30-May,126,150,11,1,NA,1,0,1,1,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,18-May,138,6-May,30-May,126,150,12,1,NA,1,0,1,2,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,19-May,139,6-May,30-May,126,150,13,1,NA,1,0,1,3,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,20-May,140,6-May,30-May,126,150,14,1,NA,1,0,1,4,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,21-May,141,6-May,30-May,126,150,15,1,NA,1,0,1,5,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,22-May,142,6-May,30-May,126,150,16,1,NA,1,0,1,6,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,23-May,143,6-May,30-May,126,150,17,1,NA,1,0,1,7,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,24-May,144,6-May,30-May,126,150,18,1,NA,1,0,1,8,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,25-May,145,6-May,30-May,126,150,19,1,NA,1,0,1,9,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,26-May,146,6-May,30-May,126,150,20,1,NA,1,0,1,10,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,27-May,147,6-May,30-May,126,150,21,1,NA,1,0,1,11,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,28-May,148,6-May,30-May,126,150,22,1,NA,1,0,1,12,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,29-May,149,6-May,30-May,126,150,23,1,NA,1,0,1,13,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,30-May,150,6-May,30-May,126,150,24,1,1,1,0,1,14,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,31-May,151,6-May,30-May,126,150,25,NA,1,1,0,1,15,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,1-Jun,152,6-May,30-May,126,150,26,NA,1,1,0,1,16,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C10,C10,50,2017,Congo,USVI,2-Jun,153,6-May,30-May,126,150,27,NA,0,0,1,1,17,cov,rock,bare,center,0,0,60.96,60.96,0.11,0,0,0
C2-1,C2,227,2018,Cockroach,BVI,3-Jun,154,18-May,11-Jun,138,162,16,1,NA,1,0,1,1,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,4-Jun,155,18-May,11-Jun,138,162,17,1,NA,1,0,1,2,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,5-Jun,156,18-May,11-Jun,138,162,18,1,NA,1,0,1,3,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
