nest,cam,cam_n,n,year,island,terr,start_date,last_date,lay_date,hatch_date,hatch,chick,pred,type,ground,veg_cover,place,per_cover,str_veg_cm,str_rock_cm,max_str,dens,nn,cause,pred_type,nest_lagu,nest_tern
S1-2-1,S1,4,21,2017,Shark,USVI,5-Jun,7-Jun,NA,NA,0,NA,1,cov,rock,vine,periph,0.5,7.62,2.54,4.06,1,0.5,P,HC,2,0
S2-1,S2,1,21,2017,Shark,USVI,5-Jun,15-Jun,NA,NA,0,NA,1,cov,veg,grass,center,0.5,15.24,30.48,7.87,1,0,P,LAGU,2,0
S3-3,S3,4,21,2017,Shark,USVI,5-Jun,8-Jun,NA,NA,0,NA,1,bare,soil,none,center,0,0,7.62,0,1.78,0.5,P,LAGU,2,0
S3-4,S3,4,21,2017,Shark,USVI,5-Jun,14-Jun,18-May,11-Jun,1,0,1,bare,soil,vine,center,0.5,0,15.24,0.25,1.78,1,P,LAGU,2,0
F2-3-1,F2,2,31,2017,Flat,USVI,31-May,4-Jul,30-May,22-Jun,1,1,0,cov,litter,bush ,periph,0,2.54,0,1.27,0.78,0.25,NA,NA,0,0
F2-1-1,F2-1,2,31,2017,Flat,USVI,31-May,3-Jun,NA,NA,0,NA,0,cov,litter,vine,periph,0.5,15.24,0,7.87,0.13,1,NV,NA,4,4
F2-2-1,F2-1,2,31,2017,Flat,USVI,31-May,4-Jul,29-May,22-Jun,1,1,0,cov,veg,vine,periph,0.75,15.24,0,7.995,0.13,1,NA,NA,4,4
G2-1,G2,2,133,2017,Guana,BVI,15-Jun,29-Jun,23-May,16-Jun,1,1,0,cov,rock,none,center,0,0,30.48,0,2,0.25,NA,NA,0,0
G2-2,G2,2,133,2017,Guana,BVI,15-Jun,30-Jun,24-May,17-Jun,1,1,0,bare,soil,bush ,center,0.25,0,0,0.125,2,0.25,NA,NA,0,0
G3-1,G3,9,133,2017,Guana,BVI,15-Jun,30-Jun,27-May,20-Jun,1,1,0,cov,soil,bush ,periph,0.75,182.88,0,91.815,0.36,1,NA,NA,0,0
G3-2,G3,9,133,2017,Guana,BVI,15-Jun,5-Jul,NA,NA,NA,NA,NA,cov,rock,bush ,periph,0.75,182.88,0,91.815,0.36,1,NA,NA,0,0
G3-3,G3,9,133,2017,Guana,BVI,15-Jun,5-Jul,6-Jun,30-Jun,1,1,0,cov,litter,bush ,periph,1,182.88,0,91.94,0.36,0.5,NA,NA,0,0
G3-4,G3,9,133,2017,Guana,BVI,15-Jun,5-Jul,NA,30-Jun,NA,NA,NA,cov,litter,bush ,periph,0.75,182.88,0,91.815,0.36,1,NA,NA,0,0
G4-1,G4,2,133,2017,Guana,BVI,15-Jun,28-Jun,23-May,16-Jun,1,1,0,cov,litter,bush ,center,1,91.44,0,46.22,8,0.5,NA,NA,0,0
G4-2,G4,2,133,2017,Guana,BVI,15-Jun,3-Jul,1-Jun,25-Jun,1,1,0,cov,litter,bush ,center,1,91.44,0,46.22,8,0.5,NA,NA,0,0
L1-1,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,NA,15-Jun,NA,NA,NA,cov,veg,grass,center,1,60.96,7.62,30.98,0.5,0.25,NA,NA,1,1
L1-2,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,21-May,14-Jun,1,1,0,cov,litter,none,periph,0.5,15.24,30.48,7.87,0.5,0.5,NA,NA,1,1
L1-3,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,NA,NA,NA,NA,NA,cov,rock,NA,periph,0.75,60.96,7.62,30.855,0.5,0.25,NA,NA,1,1
L1-4,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,17-May,10-Jun,1,1,0,cov,litter,rock,center,0.5,60.96,15.24,30.73,0.5,0.25,NA,NA,1,1
L1-5,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,21-May,14-Jun,1,1,0,cov,litter,grass,center,0.5,60.96,15.24,30.73,0.5,0.25,NA,NA,1,1
L1-6,L1,18,495,2017,LeDuck,USVI,30-May,19-Jun,21-May,14-Jun,1,1,0,cov,litter,vine,center,0.25,60.96,7.62,30.605,0.5,0.25,NA,NA,1,1
L6-1-17,L6,3,495,2017,LeDuck,USVI,30-May,15-Jun,14-May,5-Jun,1,1,0,cov,veg,grass,center,0.75,60.96,0,30.855,0.33,1,NA,NA,1,1
L6-2-2,L6,3,495,2017,LeDuck,USVI,30-May,5-Jun,11-May,4-Jun,1,1,0,cov,litter,vine,center,0.5,121.92,7.62,61.21,0.33,0.5,U,NA,1,1
S1-1-1,S1,4,21,2017,Shark,USVI,5-Jun,13-Jun,NA,NA,0,NA,0,bare,rock,none,periph,0,0,7.62,0,1,1,A,NA,2,0
S1-3-1,S1,4,21,2017,Shark,USVI,5-Jun,13-Jun,NA,NA,0,NA,0,cov,veg,grass,center,0.75,15.24,30.48,7.995,1,0.5,A,NA,2,0
