nest,year,island,terr,n,date,julian,day,period,fish_n,hourly,length,width,chick_n
C2-1,2018,Cockroach,BVI,227,13-Jun,164,1,early,7,0.538461538,17.14,6.17,1
C2-1,2018,Cockroach,BVI,227,14-Jun,165,2,early,9,0.692307692,28.8,6.44,1
C2-1,2018,Cockroach,BVI,227,15-Jun,166,3,late,15,1.153846154,19.9,5.9,2
C2-2,2018,Cockroach,BVI,227,10-Jun,161,1,early,4,0.307692308,30,6.5,1
C2-2,2018,Cockroach,BVI,227,11-Jun,162,2,early,5,0.384615385,27.5,6.25,1
C2-2,2018,Cockroach,BVI,227,12-Jun,163,3,late,3,0.230769231,30,5.6,1
C2-2,2018,Cockroach,BVI,227,13-Jun,164,4,late,5,0.384615385,24,6.8,1
C3-1,2018,Cockroach,BVI,227,6-Jun,157,1,early,5,0.384615385,45,4,1
C3-1,2018,Cockroach,BVI,227,7-Jun,158,2,early,8,0.615384615,27.14,6,1
C3-1,2018,Cockroach,BVI,227,8-Jun,159,3,late,6,0.461538462,28.3,5.3,1
C3-2,2018,Cockroach,BVI,227,7-Jun,158,1,early,6,0.461538462,26,4.2,1
C3-2,2018,Cockroach,BVI,227,8-Jun,159,2,early,3,0.230769231,26.6,7.25,1
C4-2,2018,Cockroach,BVI,227,8-Jun,159,1,early,5,0.384615385,28,6.2,1
C4-2,2018,Cockroach,BVI,227,9-Jun,160,2,early,8,0.615384615,25,4.75,1
C4-2,2018,Cockroach,BVI,227,10-Jun,161,3,late,7,0.538461538,7,5.3,1
C4-2,2018,Cockroach,BVI,227,11-Jun,162,4,late,10,0.769230769,27,5.6,2
F10-2,2018,Flat,USVI,50,9-Jun,160,1,early,9,0.692307692,26.7,4.8,1
F10-2,2018,Flat,USVI,50,10-Jun,161,2,early,13,1,24.6,4.5,2
F10-2,2018,Flat,USVI,50,11-Jun,162,3,late,11,0.846153846,27.3,4.8,2
F10-2,2018,Flat,USVI,50,12-Jun,163,4,late,10,0.769230769,18.5,3.9,2
F2-1,2018,Flat,USVI,50,11-Jun,162,1,early,9,0.692307692,31.1,5.7,1
F2-1,2018,Flat,USVI,50,12-Jun,163,2,early,7,0.538461538,26.6,5.3,1
F2-1,2018,Flat,USVI,50,13-Jun,164,3,late,12,0.923076923,27.5,5.7,1
F2-1,2018,Flat,USVI,50,14-Jun,165,4,late,9,0.692307692,21.2,4,1
F2-6,2018,Flat,USVI,50,11-Jun,162,1,early,11,0.846153846,24.4,5.22,1
F2-6,2018,Flat,USVI,50,12-Jun,163,2,early,10,0.769230769,28.9,5.22,1
F2-6,2018,Flat,USVI,50,13-Jun,164,3,late,10,0.769230769,26,5.5,1
F2-6,2018,Flat,USVI,50,14-Jun,165,4,late,8,0.615384615,25.7,5.7,1
F7-1,2018,Flat,USVI,50,11-Jun,162,1,early,7,0.538461538,31.4,5.3,1
F7-1,2018,Flat,USVI,50,12-Jun,163,2,early,9,0.692307692,27.1,4.7,1
F7-1,2018,Flat,USVI,50,13-Jun,164,3,late,16,1.230769231,21.3,4.1,1
F7-1,2018,Flat,USVI,50,14-Jun,165,4,late,10,0.769230769,26,5,1
LK-2,2018,LeDuck,USVI,296,11-Jun,162,1,early,9,0.692307692,27.1,5,1
LK-2,2018,LeDuck,USVI,296,12-Jun,163,2,early,9,0.692307692,30,5,1
LK-2,2018,LeDuck,USVI,296,13-Jun,164,3,late,5,0.384615385,27.5,4.5,NA
S1-2,2018,Shark,USVI,440,13-Jun,164,1,early,5,0.384615385,25,5,1
S1-2,2018,Shark,USVI,440,14-Jun,165,2,early,5,0.384615385,27.5,5,1
S1-3,2018,Shark,USVI,440,8-Jun,159,1,early,3,0.230769231,30,5,1
S1-3,2018,Shark,USVI,440,9-Jun,160,2,early,4,0.307692308,30,6.6,1
S1-3,2018,Shark,USVI,440,11-Jun,162,4,late,7,0.538461538,26,5.6,1
S1-4,2018,Shark,USVI,440,12-Jun,163,1,early,7,0.538461538,30,5,1
S1-4,2018,Shark,USVI,440,13-Jun,164,2,early,5,0.384615385,20,5,1
S1-4,2018,Shark,USVI,440,14-Jun,165,3,late,10,0.769230769,24,5,1
SO-2,2018,Shark,USVI,440,8-Jun,159,1,early,5,0.384615385,26,6,1
SO-2,2018,Shark,USVI,440,9-Jun,160,2,early,5,0.384615385,22.5,5,1
SO-2,2018,Shark,USVI,440,10-Jun,161,3,late,4,0.307692308,17.5,4,1
ST-1,2018,Shark,USVI,440,10-Jun,161,1,early,12,0.923076923,25,4.8,1
ST-1,2018,Shark,USVI,440,11-Jun,162,2,early,9,0.692307692,23.75,4.5,1
ST-1,2018,Shark,USVI,440,12-Jun,163,3,late,10,0.769230769,31.4,6.3,NA
ST-5,2018,Shark,USVI,440,6-Jun,157,1,early,4,0.307692308,27.5,5,1
ST-5,2018,Shark,USVI,440,7-Jun,158,2,early,7,0.538461538,28.3,5,1
ST-5,2018,Shark,USVI,440,8-Jun,159,3,late,7,0.538461538,25.7,4.7,1
ST-5,2018,Shark,USVI,440,9-Jun,160,4,late,13,1,26.9,5.2,1
ST-6,2018,Shark,USVI,440,8-Jun,159,1,early,3,0.230769231,30,5,1
ST-6,2018,Shark,USVI,440,9-Jun,160,2,early,3,0.230769231,30,6.3,1
ST-6,2018,Shark,USVI,440,10-Jun,161,3,late,8,0.615384615,28.6,5.7,1
ST-6,2018,Shark,USVI,440,11-Jun,162,4,late,4,0.307692308,30,5,1
