nest,cam,island,n,date,chick_n,day,period,time,hour,type,spp,length,width,volume,shealer_length,shealer_mass
C2-1,C2,Cockroach,227,14-Jun,1,1,early,9:01:00,4,F,DH,10,5,50,2,0.19981
C2-1,C2,Cockroach,227,13-Jun,1,1,early,16:20:00,4,F,DH,20,5,50,2,0.19981
C2-1,C2,Cockroach,227,14-Jun,1,1,early,9:16:00,4,F,FP,10,5,50,2,NA
C2-1,C2,Cockroach,227,14-Jun,1,1,early,9:53:00,4,F,NA,10,5,50,2,NA
C2-1,C2,Cockroach,227,14-Jun,1,1,early,12:45:00,7,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,14-Jun,1,1,early,10:46:00,5,F,FP,10,5,50,3,NA
C2-1,C2,Cockroach,227,14-Jun,1,1,early,13:17:00,8,F,FP,30,10,300,4,NA
C2-1,C2,Cockroach,227,15-Jun,1,2,early,8:01:00,3,F,DH,10,5,50,2,0.19981
C2-1,C2,Cockroach,227,15-Jun,1,2,early,14:49:00,9,F,DH,10,1,10,2,0.19981
C2-1,C2,Cockroach,227,15-Jun,1,2,early,7:07:00,2,F,FP,40,10,400,2,NA
C2-1,C2,Cockroach,227,15-Jun,1,2,early,8:54:00,3,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,15-Jun,1,2,early,10:43:00,5,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,15-Jun,1,2,early,12:17:00,7,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,15-Jun,1,2,early,16:51:00,11,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,15-Jun,1,2,early,6:13:00,1,F,DH,40,7,280,4,1.25756
C2-1,C2,Cockroach,227,15-Jun,1,2,early,15:33:00,10,F,DH,40,7,280,4,1.25756
C2-1,C2,Cockroach,227,17-Jun,2,3,late,6:52:00,1,F,DH,10,5,50,1,0.08944
C2-1,C2,Cockroach,227,16-Jun,2,3,late,7:51:00,2,F,FP,10,5,50,1,NA
C2-1,C2,Cockroach,227,17-Jun,2,3,late,8:58:00,3,F,DH,10,NA,NA,2,0.19981
C2-1,C2,Cockroach,227,16-Jun,2,3,late,10:34:00,5,F,DH,20,5,100,2,0.19981
C2-1,C2,Cockroach,227,17-Jun,2,3,late,17:27:00,12,F,NA,10,5,50,2,NA
C2-1,C2,Cockroach,227,17-Jun,2,3,late,5:54:00,1,F,DH,20,5,100,3,0.79804
C2-1,C2,Cockroach,227,17-Jun,2,3,late,6:25:00,1,F,DH,20,5,100,3,0.79804
C2-1,C2,Cockroach,227,17-Jun,2,3,late,10:07:00,5,F,DH,30,7,210,3,0.79804
C2-1,C2,Cockroach,227,16-Jun,2,3,late,13:59:00,8,F,DH,20,5,100,3,0.79804
C2-1,C2,Cockroach,227,16-Jun,2,3,late,15:19:00,10,F,DH,30,10,300,3,0.79804
C2-1,C2,Cockroach,227,17-Jun,2,3,late,8:12:00,3,F,FP,30,7,210,4,NA
C2-1,C2,Cockroach,227,17-Jun,2,3,late,12:40:00,7,NA,NA,NA,NA,NA,NA,NA
C2-1,C2,Cockroach,227,17-Jun,2,3,late,14:09:00,9,NA,NA,NA,NA,NA,NA,NA
C2-1,C2,Cockroach,227,17-Jun,2,3,late,15:56:00,10,NA,NA,NA,NA,NA,NA,NA
C2-1,C3,Cockroach,227,17-Jun,2,3,late,17:30:00,12,NA,NA,NA,NA,NA,NA,NA
C2-2,C2,Cockroach,227,10-Jun,1,1,early,11:40:00,6,F,DH,20,5,100,2,0.19981
C2-2,C2,Cockroach,227,10-Jun,1,1,early,18:49:00,13,F,DH,30,7,210,2,0.19981
C2-2,C2,Cockroach,227,10-Jun,1,1,early,9:10:00,4,F,DH,40,7,280,4,1.25756
C2-2,C2,Cockroach,227,10-Jun,1,1,early,10:28:00,5,F,DH,30,7,210,4,1.25756
C2-2,C2,Cockroach,227,11-Jun,1,2,early,9:54:00,4,F,NA,10,1,10,1,NA
C2-2,C2,Cockroach,227,11-Jun,1,2,early,9:14:00,4,F,DH,30,7,210,2,0.19981
C2-2,C2,Cockroach,227,11-Jun,1,2,early,11:52:00,6,F,FP,30,10,300,2,NA
C2-2,C2,Cockroach,227,11-Jun,1,2,early,15:10:00,10,F,DH,40,7,280,3,0.79804
C2-2,C2,Cockroach,227,11-Jun,1,2,early,10:52:00,5,NA,NA,NA,NA,NA,NA,NA
C2-2,C2,Cockroach,227,12-Jun,1,3,late,12:34:00,7,F,DH,10,5,50,1,0.08944
C2-2,C2,Cockroach,227,12-Jun,1,3,late,5:59:00,1,F,DH,40,7,280,3,0.79804
C2-2,C2,Cockroach,227,12-Jun,1,3,late,14:41:00,9,F,DH,40,5,200,3,0.79804
C2-2,C2,Cockroach,227,13-Jun,1,4,late,16:20:00,11,F,FP,10,5,50,1,NA
C2-2,C2,Cockroach,227,13-Jun,1,4,late,5:55:00,1,F,DH,30,7,210,2,0.19981
C2-2,C2,Cockroach,227,13-Jun,1,4,late,6:51:00,1,F,FP,20,5,100,2,NA
C2-2,C2,Cockroach,227,13-Jun,1,4,late,8:35:00,3,F,DH,30,10,300,3,0.79804
C2-2,C2,Cockroach,227,13-Jun,1,4,late,9:04:00,4,F,DH,30,7,210,3,0.79804
C3-1,C3,Cockroach,227,7-Jun,1,1,early,19:24:00,13,F,DH,30,7,210,3,0.79804
